                    CATÁLOGO NACIONAL DE BIENES MUEBLES DEL ESTADO


GRUPO GENÉRICO    04: AGRÍCOLA Y PESQUERO
CLASE             22: EQUIPO

 N°     CÓDIGO                                             DENOMINACIÓN   UNIDAD
2476   67224286   EQUIPO DE ASPIRACION PARA SOLDADURA                          Unidad
2477   67224331   EQUIPO DE BAÑO MARIA                                         Unidad
2478   67224420   EQUIPO DE CARBURO                                                Unidad
2479   67224464   EQUIPO DE CIANURACION                                            Unidad
2480   67224509   EQUIPO DE CROMATOGRAFIA                                          Unidad
2481   67224520   EQUIPO DE DESCARGA EN ORIFICIOS                                  Unidad
2482   67224531   EQUIPO DE ELECTROLISIS                                           Unidad
2483   67224554   EQUIPO DE ENCARRILAR                                             Unidad
2484   67224556   EQUIPO DE ENGRASE CON CARRETE DE PARED                           Unidad
2485   67224559   EQUIPO DE EVALUACION VOCACIONAL MOVIL                            Unidad
2486   67224565   EQUIPO DE EXTRACCION                                             Unidad
2487   67224570   EQUIPO DE FERMENTACION                                           Unidad
2488   67224573   EQUIPO DE FILTRACION POR MEMBRANA                                Unidad
2489   67224576   EQUIPO DE IMPACTO                                                Unidad
2490   67224580   SISTEMA DE EXTRACCION DE COMPUESTOS VOLATILES ACOPABLE A MUFLA   Unidad
2491   67224581   EQUIPO DE LAVADO EN CALIENTE                                     Unidad
2492   67224582   EQUIPO PARA USO PERICIAL DE DOCUMENTOS                           Unidad
2493   67224587   EQUIPO DE PERDIDAS DE CARGA EN TUBERIAS                          Unidad
2494   67224599   EQUIPO DE RAYOS INFRARROJOS                                      Unidad
2495   67224688   EQUIPO DE RAYOS ULTRAVIOLETA                                     Unidad
2496   67224777   EQUIPO DE RAYOS X                                                Unidad
2497   67224821   EQUIPO DE REHABILITACION COGNITIVA                               Unidad
2498   67224866   EQUIPO DE SISTEMA BIOTRON                                        Unidad
2499   67224955   EQUIPO DE SOLDADURA                                              Unidad
2500   67224966   EQUIPO DE TRASIEGO DE GLP                                        Unidad
2501   67224977   EQUIPO DE TRATAMIENTO DE AGUA                                    Unidad
2502   67224999   EQUIPO DE ULTRAFILTRACION                                        Unidad
2503   67225022   EQUIPO DE VACIO                                                  Unidad
2504   67225045   EQUIPO DETECTOR DE EXPLOSIVOS                                    Unidad
2505   67225089   EQUIPO FORMATIVO DE PAPEL                                        Unidad
2506   67225134   EQUIPO GAMMA PARA PERFILAJE                                      Unidad
2507   67225223   EQUIPO GAMMA PARA RADIOGRAFIA                                    Unidad
2508   67225312   EQUIPO HIDRONEUMATICO                                            Unidad
2509   67225334   EQUIPO IDENTIFICADOR DE INSTANTANEAS                             Unidad
2510   67225356   EQUIPO ORDENADOR DE TURNO ELECTRONICO                            Unidad
2511   67225367   EQUIPO OXIACETILENO                                              Unidad
2512   67225372   EQUIPO PARA DETERMINAR NITROGENO ORGANICO                        Unidad
2513   67225374   EQUIPO PARA ESTAMPAR                                             Unidad
2514   67225376   EQUIPO PARA FILTRADO DE MIEL                                     Unidad
2515   67225378   EQUIPO PARA PROBAR HERMITICIDAD DE CULATAS                       Unidad
2516   67225379   EQUIPO PARA PLANCHAR PIELES                                      Unidad
2517   67225389   EQUIPO PARA REPRODUCCIONES FOTOGRAFICAS                          Unidad
2518   67225395   EQUIPO ULTRASONIDO PARA PORCELANA                                Unidad
2519   67225398   EQUIPO ULTRASONIDO PORTATIL PARA ENSAYOS NO DESTRUCTIVOS         Unidad
2520   67225401   ESCALERA TELESCOPICA                                             Unidad
2521   67225491   ESMERIL ELECTRICO                                                Unidad
2522   67225513   ESPANTA PLAGA ELECTRICO                                          Unidad
2523   67225535   ESPATULA TERMOELECTRICA                                          Unidad
2524   67225546   ESQUILADORA                                                      Unidad
2525   67225551   ESTACION PARA SOLDAR - ESTACION DE SOLDADURA                     Unidad
2526   67225557   ESTEREO MICROSCOPIO                                              Unidad
2527   67225580   ESTEREO SIMPLEX                                                  Unidad
2528   67225669   ESTEREOSCOPIO                                                    Unidad
2529   67225698   ESTUFA DE SECADO                                                 Unidad
2530   67225712   ESTUFA DE VACIO                                                  Unidad
2531   67225727   ESTUFA ELECTRICA PARA LABORATORIO                                Unidad
2532   67225758   ESTUFA INFRARROJA A KEROSENE                                     Unidad
2533   67225847   EXCITACON PARA MOVIMIENTO DE BARRAS                              Unidad
2534   67225891   EXPRIMIDORA DE CITRICOS                                          Unidad
2535   67225936   EXTRACTOR (OTROS)                                                Unidad
2536   67225958   EXTRACTOR DE NUCLEOS DE CONCRETO                                 Unidad
2537   67225980   FAJA LAVADORA Y TRANSPORTADORA DE FRUTAS                         Unidad
2538   67225985   FILTRO DE JUGOS INDUSTRIAL                                       Unidad
2539   67225991   FLEJADORA                                                  Unidad
2540   67226003   FOTOMICROSCOPIO                                            Unidad
2541   67226026   FOTORESTITUIDOR                                            Unidad
2542   67226115   FRAGUA                                                     Unidad
2543   67226204   FUENTE POLAR CARGA MAXIMA                                  Unidad
2544   67226293   FUENTE RADIOACTIVA                                         Unidad
2545   67226337   GATA HIDRAULICA DE ALUMINIO PARA RESCATE                   Unidad
2546   67226382   GATAS EN GENERAL                                           Unidad
2547   67226404   GENERADOR DE AIRE CERO                                     Unidad
2548   67226427   GENERADOR DE HIDROGENO                                     Unidad
2549   67226472   GENERADOR EOLICO                                           Unidad
2550   67226561   GRUA DE CABALLETE                                          Unidad
2551   67226566   HORNO DE HIBRIDACION                                       Unidad
2552   67226567   HORNO ELECTRICO DE PRUEBAS                                 Unidad
2553   67226569   IDENTIFICADOR DE GASES REFRIGERANTES                       Unidad
2554   67226572   INFLADOR ELECTRICO                                         Unidad
2555   67226583   INSTRUMENTOS PARA MEDIR APRENDIZAJE Y MEMORIA              Unidad
2556   67226605   INTERCAMBIADOR DE CALOR DE TUBOS                           Unidad
2557   67226650   INYECTOR ANGIOGRAFICO                                      Unidad
2558   67226739   INYECTOR DE BROMURO                                        Unidad
2559   67226828   LAMINADORA                                                 Unidad
2560   67226918   LAMPARA TIPO PETROMAX                                      Unidad
2561   67227007   LANZALLAMAS                                                Unidad
2562   67227096   LAQUEADORA                                                 Unidad
2563   67227140   LECTOR PORTATIL DE PROXIMIDAD PARA CONTROL DE RONDAS       Unidad
2564   67227185   LECTORA (OTRAS)                                            Unidad
2565   67227229   LECTORA PARA IDENTIFICACION POR RADIOFRECUENCIA            Unidad
2566   67227274   LIJADORA ELECTRICA                                         Unidad
2567   67227319   LIMPIADOR ULTRASONICO                                      Unidad
2568   67227364   LIMPIADORA DE ANILLOS                                      Unidad
2569   67227408   LINTERNA DE LARGO ALCANCE                                  Unidad
2570   67227453   LIOFILIZADOR                                               Unidad
2571   67227468   LLAVE DE IMPACTO CON LLAVE TUBULAR PARA PERNO              Unidad
2572   67227475   LOCALIZADOR DE VIDA                                        Unidad
2573   67227483   LUBRICADOR METALICO PORTATIL                               Unidad
2574   67227484   MADEJADORA                                                 Unidad
2575   67227486   MADEJERO CON MOTOR ELECTRICO                               Unidad
2576   67227490   MANTA DE CALENTAMIENTO PARA LABORATORIO                    Unidad
2577   67227493   MANTA TERMICA PARA PISCINA                                 Unidad
2578   67227497   MAQUINA BATEADORA DE BALASTRO                              Unidad
2579   67227498   MAQUINA COCINADORA DE FRUTAS                               Unidad
2580   67227499   MAQUINA FIJADORA DE FULMINANTE                             Unidad
2581   67227503   MAQUINA LAVADORA DE MONDONGO                               Unidad
2582   67227505   MAQUINA LIMPIADORA DE QUINUA                               Unidad
2583   67227508   MARCADOR DE LLANTAS                                        Unidad
2584   67227509   MARTILLO DEMOLEDOR ELECTRICO                               Unidad
2585   67227510   MARTILLO DE PERCUSION NEUMATICO                            Unidad
2586   67227511   MEZCLADOR DE FIBRA - COTTON BLENDER                        Unidad
2587   67227512   MASTIL BASCULANTE PARA ESTACION METEOROLOGICA              Unidad
2588   67227513   MICROASPIRADORA                                            Unidad
2589   67227514   MICROCAMARA DIGITAL FLEXIBLE PARA EXPLORACION/INSPECCION   Unidad
2590   67227515   MICROSCOPIO DE COMPARACION                                 Unidad
2591   67227516   MICROSCOPIO PARA CONTROL DE CALIDAD                        Unidad
2592   67227517   MODULO DE ADQUISICION DE DATOS MULTIFUNCION (DAQ)          Unidad
2593   67227519   MODULO DE ENSEÑANZA EN GENERAL                             Unidad
2594   67227520   MASTIL TELESCOPICO PARA ANTENA DE COMUNICACIONES           Unidad
2595   67227530   MOLEDOR DE SUELO                                           Unidad
2596   67227531   MONOCULAR DE VISION DIURNA Y NOCTURNA                      Unidad
2597   67227536   MONTURA ROBOTICA PARA OBSERVACIONES ASTRONOMICAS           Unidad
2598   67227542   MOTOBOMBA                                                  Unidad
2599   67227690   MOTOR COLGANTE                                             Unidad
2600   67227838   MOTOR PARA PULIR JOYERIA                                     Unidad
2601   67227988   MOTORES ESTACIONARIOS Y MARINOS                              Unidad
2602   67228077   MUFLA ELECTRICA                                              Unidad
2603   67228082   MULTIHERRAMIENTA ELECTRICA ROTATIVA                          Unidad
2604   67228088   OZONIZADOR PURIFICADOR DE AGUA                               Unidad
2605   67228099   PALANCA PARA REMACHES                                        Unidad
2606   67228121   PASTEURIZADOR                                                Unidad
2607   67228143   PEINADORA DE CESPED ARTIFICIAL                               Unidad
2608   67228166   PERFORADORA DE RODILLOS                                      Unidad
2609   67228210   PERFORADORA INDUSTRIAL                                       Unidad
2610   67228221   PERTIGA TELESCOPICA                                          Unidad
2611   67228226   PINTARRAYAS                                                  Unidad
2612   67228232   PIROGRAFO                                                    Unidad
2613   67228243   PISTOLA DE CALOR                                             Unidad
2614   67228255   PISTOLA ELECTRICA PARA SOLDAR                                Unidad
2615   67228277   PISTOLA ESTROBOSCOPICA                                       Unidad
2616   67228299   PISTOLA PARA FIJAR CLAVOS                                    Unidad
2617   67228300   FLUJOMETRO DIGITAL DE ESTABILIDAD MARSHALL                   Unidad
2618   67228322   PISTOLA PARA PERNOS                                          Unidad
2619   67228345   PISTOLA PARA PINTAR                                          Unidad
2620   67228434   PISTOLA PARA SINCRONIZAR MOTORES                             Unidad
2621   67228478   PISTOLA REMACHADORA                                          Unidad
2622   67228483   PLANTA DE OSMOSIS INVERSA                                    Unidad
2623   67228486   PLANTA DE TRATAMIENTO DE AGUA                                Unidad
2624   67228489   PLANTA PROCESADORA DE NITROGENO LIQUIDO                      Unidad
2625   67228500   PLUMA ELEVADORA - GRUA PLUMA                                 Unidad
2626   67228511   PODADORA DE ALTURA                                           Unidad
2627   67228523   POLIPASTO ELECTRICO                                          Unidad
2628   67228567   PORTAROLLOS DE FLEJES LAMINADOS                              Unidad
2629   67228589   PRECINTADORA                                                 Unidad
2630   67228612   PRISMA PENTAGONAL TOPOGRAFICO                                Unidad
2631   67228626   PROBADOR DE BATERIA Y REFRIGERANTE                           Unidad
2632   67228641   PROBADOR DE CILINDRO DE FRENO                                Unidad
2633   67228670   PROBADOR DE EQUIPO NEUMATICO                                 Unidad
2634   67228677   PROBADOR TRIFASICO Y DE ROTACION DE MOTOR                    Unidad
2635   67228685   PROGRAMADOR Y VALIDADOR PORTATIL PARA MAQUINA TRAGAMONEDAS   Unidad
2636   67228701   PULIDORA                                                     Unidad
2637   67228745   RAMPA DE VACIO                                               Unidad
2638   67228756   REBAJADOR ELECTRONICO                                        Unidad
2639   67228768   REBORDEADORA Y CERRADORA DE ENSAMBLADURA                     Unidad
2640   67228773   RECIRCULADOR DE AGUA PARA LABORATORIO                        Unidad
2641   67228779   RECTIFICADOR PORTATIL PARA CILINDRO                          Unidad
2642   67228780   RECUPERADOR DE FINOS                                         Unidad
2643   67228782   RECUPERADOR DE PROYECTILES                                   Unidad
2644   67228785   REFINADOR DE FIBRAS DE PAPEL - REFINADOR PFI                 Unidad
2645   67228788   REFRENTADOR DE TESTIGOS DE CONCRETO                          Unidad
2646   67228791   REGISTRADOR DE COLORES                                       Unidad
2647   67228802   REGISTRADOR DE DATOS - DATA LOGGER                           Unidad
2648   67228813   REGLA VIBRATORIA PARA CONCRETO O PAVIMENTO                   Unidad
2649   67228835   ROCIADOR ELECTRICO - ASPERJADOR                              Unidad
2650   67228857   ROTOMARTILLO                                                 Unidad
2651   67228880   ROTOR                                                        Unidad
2652   67228902   ROZADORA                                                     Unidad
2653   67228924   RUTEADORA                                                    Unidad
2654   67228946   SALVAESCALERA MOVIL                                          Unidad
2655   67228969   SARGENTA                                                     Unidad
2656   67228991   SCANNER AUTOMOTRIZ                                           Unidad
2657   67229013   SECADOR DE POLEN                                             Unidad
2658   67229058   SECADORA (OTROS)                                             Unidad
2659   67229080   SECADORA DE AIRE                                             Unidad
2660   67229102   SECADORA DE BANDEJAS                                         Unidad
2661   67229147   SECADORA DE FOTOGRAFIAS                                  Unidad
2662   67229191   SECADORA DE LUZ INFRARROJA                               Unidad
2663   67229236   SELLADOR DE AGUA                                         Unidad
2664   67229326   SELLADORA DE IMPULSION                                   Unidad
2665   67229348   SELLADORA DE TAPAS                                       Unidad
2666   67229359   SENSOR RADAR DE TRAFICO VEHICULAR                        Unidad
2667   67229364   SEPARADOR HIDRAULICO PARA RESCATE                        Unidad
2668   67229370   SERRUCHO ELECTRICO                                       Unidad
2669   67229392   SIERRA CIRCULAR PORTATIL                                 Unidad
2670   67229415   SIERRA ELECTRICA DE ARCO PARA FIERRO                     Unidad
2671   67229426   SIERRA NEUMATICA                                         Unidad
2672   67229431   SIMULADOR DE CONDUCCION DE TREN                          Unidad
2673   67229437   SISTEMA ACUSTO MAGNETICO DE SEGURIDAD                    Unidad
2674   67229442   SISTEMA DE CALEFACCION INFRARROJO                        Unidad
2675   67229443   SISTEMA DE INSPECCION DE CARGA Y VEHICULOS               Unidad
2676   67229444   SISTEMA DE LLENADO ESTERIL                               Unidad
2677   67229446   SISTEMA DE PASTEURIZACION UHT/HTST                       Unidad
2678   67229448   SISTEMA DE PUESTA A PUNTO POR LUMINOSIDAD Y MAGNETISMO   Unidad
2679   67229451   SISTEMA DE REGISTRO DE COMPORTAMIENTO ANIMAL - ABET      Unidad
2680   67229452   SISTEMA DIGITAL DE ADQUISICION DE DATOS                  Unidad
2681   67229454   SISTEMA ELECTRO MAGNETICO DE SEGURIDAD                   Unidad
2682   67229460   SISTEMA ELEVADOR PARA PUERTA                             Unidad
2683   67229471   SISTEMA MOVIL DE ENROLAMIENTO DE PERSONAS                Unidad
2684   67229482   SISTEMA PARA ANALISIS DE MOTORES                         Unidad
2685   67229493   SISTEMA RADIOFRECUENCIA DIGITAL DE SEGURIDAD             Unidad
2686   67229495   SISTEMA SEMAFORIZACION INTELIGENTE                       Unidad
2687   67229498   SISTEMA TEST DE VIENA COMPUTARIZADO                      Unidad
2688   67229504   SOPLADORA DE AIRE                                        Unidad
2689   67229548   SURTIDOR DE COMBUSTIBLE                                  Unidad
2690   67229593   TALADRO ELECTRICO PORTATIL                               Unidad
2691   67229594   TANQUE DE ALMACENAMIENTO DE LECHE                        Unidad
2692   67229595   TANQUE DE ALMACENAMIENTO DE LECHE PASTEURIZADA           Unidad
2693   67229596   TANQUE DE ALMACENAMIENTO ISOTERMICO DE LECHE             Unidad
2694   67229597   TANQUE DE ALMACENAMIENTO REFRIGERADO                     Unidad
2695   67229601   TANQUE DE MADURACION - MADURADOR                         Unidad
2696   67229603   TANQUE DE RECIRCULACION/REMOJO PARA PELETERIA            Unidad
2697   67229605   TANQUE DE PROPAGACION Y RECOLECCION DE LEVADURA          Unidad
2698   67229606   TANQUE DECANTADOR                                        Unidad
2699   67229607   TANQUE FUNDIDOR HOMOGENIZADOR                            Unidad
2700   67229608   TANQUE HIDROTERMICO                                      Unidad
2701   67229609   TANQUE MACERADOR                                         Unidad
2702   67229615   TANQUE METALICO INTERCAMBIADOR DE CALOR                  Unidad
2703   67229626   TANQUE PARA DESOPERCULACION                              Unidad
2704   67229637   TANQUE PASTEURIZADOR                                     Unidad
2705   67229659   TAPADORA TORQUEADORA MANUAL                              Unidad
2706   67229682   TARJETA DE PUNTERIA CON ILUMINACION                      Unidad
2707   67229772   TECLE                                                    Unidad
2708   67229786   TELESCOPIO REFLECTOR                                     Unidad
2709   67229800   TELESCOPIO REFRACTOR                                     Unidad
2710   67229816   TENSOR DE RIELES                                         Unidad
2711   67229827   TERMOBLOQUE PARA LABORATORIO                             Unidad
2712   67229838   TERMOENCUADERNADORA                                      Unidad
2713   67229840   TIJERA ROTATIVA                                          Unidad
2714   67229843   TIJERAS ELECTRICAS PARA PODA                             Unidad
2715   67229848   TIJERAS HIDRAULICAS PARA PODA                            Unidad
2716   67229853   TIJERAS NEUMATICAS PARA PODA                             Unidad
2717   67229861   TORNILLO DE BANCO                                        Unidad
2718   67229872   TORNO DE HILAR MECANICO A PEDAL                          Unidad
2719   67229884   TRANSPORTADOR DE RODILLOS                                Unidad
2720   67229889   TRANSPORTADOR NEUMATICO                                  Unidad
2721   67229895   TRITURADORA Y ESTERILIZADORA INTEGRADA                   Unidad
2722   67229906   TROQUELADOR                                         Unidad
2723   67229950   VAPORIZADOR EN GENERAL                              Unidad
2724   67229956   VASO DE EXPANSION                                   Unidad
2725   67229959   VENTILADOR PARA PRESION POSITIVA                    Unidad
2726   67229962   VERTEDOR DE AGUA PARA LABORATORIO                   Unidad
2727   67229975   VIBRADOR ELECTRICO PARA CONCRETO                    Unidad
2728   67229987   VULCANIZADORA                                       Unidad

GRUPO GENÉRICO    67: MAQUINARIA, VEHÍCULOS Y OTROS
CLASE             29: FERROCARRIL

 N°     CÓDIGO                                         DENOMINACIÓN   UNIDAD
2729   67290600   AUTOCARRIL - AUTOVIA                                Unidad
2730   67291200   AUTOVAGON                                           Unidad
2731   67291800   COCHE DE PASAJEROS                                  Unidad
2732   67292400   COCHE MOTOR - AUTOMOTOR                             Unidad
2733   67293000   COCHE REMOLQUE                                      Unidad
2734   67293600   LOCOMOTORA                                          Unidad
2735   67294200   UNIDAD DE TREN                                      Unidad
2736   67294800   VAGON                                               Unidad
2737   67295400   VAGON CISTERNA                                      Unidad
2738   67296000   VAGON PLATAFORMA                                    Unidad
2739   67296600   VAGON TANQUE                                        Unidad
2740   67297200   VAGON TOLVA                                         Unidad
2741   67297800   VAGONETA                                            Unidad
2742   67298400   VAGONETA GRUA                                       Unidad
2743   67299000   VAGONETA PLATAFORMA AUTOPROPULSADA                  Unidad

GRUPO GENÉRICO    67: MAQUINARIA, VEHÍCULOS Y OTROS
CLASE             36: MAQUINARIA PESADA

 N°     CÓDIGO                                         DENOMINACIÓN   UNIDAD
2744   67360050   AMASADORA MEZCLADORA DE ASFALTO                     Unidad
2745   67360165   APISONADORA DE CARRETERA                            Unidad
2746   67360280   APISONADORA DE PLANCHA                              Unidad
2747   67360510   BARREDORA MECANICA                                  Unidad
2748   67360626   CARGADOR FRONTAL                                    Unidad
2749   67360856   CASA RODANTE                                        Unidad
2750   67360971   CHANCADORA PRIMARIA                                 Unidad
2751   67361086   CHANCADORA PRIMARIA - SECUNDARIA                    Unidad
2752   67361201   CHANCADORA SECUNDARIA                               Unidad
2753   67361316   CICLON DE SUB-PRODUCTOS                             Unidad
2754   67361431   COCINA DE ASFALTO                                   Unidad
2755   67361547   COMPACTADOR                                         Unidad
2756   67361662   COMPACTADOR VIBRATORIO TIPO PLANCHA                 Unidad
2757   67361777   CONCRETERO BARIVAL                                  Unidad
2758   67361892   CONTENEDOR                                          Unidad
2759   67361920   CONTENEDOR SOTERRADO                                Unidad
2760   67361949   ESCALERA ELECTRICA                                  Unidad
2761   67362007   ESCALERA MECANICA                                   Unidad
2762   67362122   ESPARCIDORA DE AGREGADOS                            Unidad
2763   67362179   EXCAVADORA HIDRAULICA                               Unidad
2764   67362237   GRUA BASCULANTE                                     Unidad
2765   67362352   GRUA DE CONSTRUCCION                                Unidad
2766   67362524   GRUA MONORRIEL - GRUA TIPO PORTICO                  Unidad
2767   67362553   GRUA MOVIL PORTACONTENEDOR - REACH STACKER          Unidad
2768   67362583   GRUA OSCILANTE                                      Unidad
2769   67362640   GRUA PUENTE                                         Unidad
2770   67362669   GRUA TELESCOPICA                                    Unidad
2771   67362698   HORNO PARA COCCION DE YESO                          Unidad
2772   67362813   HORNO PARA ESCURRIMIENTO DE CENIZAS                 Unidad
2773   67362928   HORNO PARA FUNDICION                              Unidad
2774   67363043   LIMPIA PLAYA                                      Unidad
2775   67363158   LIMPIADOR DE DRENES                               Unidad
2776   67363273   MAQUINA COSECHADORA                               Unidad
2777   67363388   MAQUINA CULTIVADORA                               Unidad
2778   67363503   MAQUINA MEZCLADORA DE TIERRA                      Unidad
2779   67363619   MAQUINA PARA HACER ESCAMAS DE HIELO               Unidad
2780   67363734   MAQUINA SEGADORA TRILLADORA                       Unidad
2781   67363791   MAQUINA TABLEADORA                                Unidad
2782   67363849   MEZCLADOR DE CONCRETO                             Unidad
2783   67363964   MOLINOS EN GENERAL                                Unidad
2784   67364079   MOTOCULTOR                                        Unidad
2785   67364194   MOTOGRUA                                          Unidad
2786   67364309   MOTONIVELADORA                                    Unidad
2787   67364424   MOTOTRAILLAS                                      Unidad
2788   67364540   PALA DRAGALINA                                    Unidad
2789   67364655   PAVIMENTADORA                                     Unidad
2790   67364770   PERFORADORA DE POZO                               Unidad
2791   67364885   PERFORADORA SOBRE ORUGAS                          Unidad
2792   67365000   PILADORA EN GENERAL                               Unidad
2793   67365115   PLANTA CHANCADORA                                 Unidad
2794   67365172   PLANTA DE ASFALTO EN CALIENTE                     Unidad
2795   67365230   PLANTA DE ASFALTO EN FRIO                         Unidad
2796   67365345   PLANTA DE HORMIGON                                Unidad
2797   67365460   PLANTA DE PARQUET                                 Unidad
2798   67365576   PLANTA DOSIFICADORA DE CONCRETO                   Unidad
2799   67365604   PLANTA EVAPORADORA DE AGUA DE COLA                Unidad
2800   67365633   PLANTA PARA ELABORAR FIDEOS                       Unidad
2801   67365691   PLATAFORMA TIPO CARRETA                           Unidad
2802   67365806   REMOLCADOR                                        Unidad
2803   67365921   REMOLQUE AGRICOLA                                 Unidad
2804   67366036   RETROEXCAVADORA                                   Unidad
2805   67366151   RIPPER                                            Unidad
2806   67366266   ROBOT TRIXER                                      Unidad
2807   67366381   RODILLO LISO VIBRATORIO AUTOPROPULSADO            Unidad
2808   67366497   RODILLO LISO VIBRATORIO MANUAL                    Unidad
2809   67366612   RODILLO NEUMATICO AUTOPROPULSADO                  Unidad
2810   67366727   RODILLO PATA DE CABRA VIBRATORIO AUTOPROPULSADO   Unidad
2811   67366842   RODILLO TANDEM ESTATICO AUTOPROPULSADO            Unidad
2812   67366957   RODILLO TANDEM VIBRATORIO AUTOPROPULSADO          Unidad
2813   67367072   RODILLO VIBRATORIO                                Unidad
2814   67367187   RUEDA DECANTADORA                                 Unidad
2815   67367302   SECADOR DE ARIDOS                                 Unidad
2816   67367340   SEGADORA ACONDICIONADORA                          Unidad
2817   67367378   SEGADORA DE DISCO PARA FORRAJE                    Unidad
2818   67367417   SELECCIONADORA DE AGREGADOS                       Unidad
2819   67367533   SILO (OTROS)                                      Unidad
2820   67367648   SILO TRANSPORTADOR DE CEMENTO                     Unidad
2821   67367676   SUBSOLADOR                                        Unidad
2822   67367704   TANQUE ABLANDADOR DE AGUA                         Unidad
2823   67367718   TANQUE COCINADOR A VAPOR                          Unidad
2824   67367732   TANQUE DE CONDENSADO                              Unidad
2825   67367747   TANQUE DE FERMENTACION                            Unidad
2826   67367763   TANQUE DE METAL - CISTERNA                        Unidad
2827   67367777   TANQUE DE PURGA                                   Unidad
2828   67367791   TANQUE DE SALMUERA                                Unidad
2829   67367820   TANQUE HIDRONEUMATICO                             Unidad
2830   67367849   TANQUE NEUMATICO                                  Unidad
2831   67367878   TANQUE PARA ALMACENAMIENTO DE COMBUSTIBLE         Unidad
2832   67367993   TELESCOPIO                                        Unidad
2833   67368108   TINA DESENGRASADORA ELECTROLITICA                 Unidad
2834   67368223   TINA DESENGRASADORA QUIMICA                                  Unidad
2835   67368338   TINA NEUTRALIZADORA                                          Unidad
2836   67368395   TOLVA (OTRAS)                                                Unidad
2837   67368453   TOLVA ALIMENTADORA                                           Unidad
2838   67368569   TOLVA DOSIFICADORA DE CONCRETO                               Unidad
2839   67368684   TOLVA PARA GRAVA                                             Unidad
2840   67368799   TRACTOR AGRICOLA                                             Unidad
2841   67368914   TRACTOR BULDOZER                                             Unidad
2842   67369029   TRACTOR CON RIPPER                                           Unidad
2843   67369144   TRACTOR DE LLANTA - TRACTOR DE TIRO                          Unidad
2844   67369259   TRACTOR ORUGA                                                Unidad
2845   67369374   TRONQUERA                                                    Unidad
2846   67369605   ZANJADORA ENTUBADORA                                         Unidad
2847   67369720   ZARANDA ROTATIVA                                             Unidad
2848   67369835   ZARANDA VIBRATORIA                                           Unidad
2849   67369950   ZARANDEADORA                                                 Unidad

GRUPO GENÉRICO    67: MAQUINARIA, VEHÍCULOS Y OTROS
CLASE             50: MÁQUINA

 N°     CÓDIGO                                           DENOMINACIÓN          UNIDAD
2850   67500001   MAQUINA MEZCLADORA REFINADORA DE CACAO                       Unidad
2851   67500002   MAQUINA ESFERONIZADORA                                       Unidad
2852   67500003   LAVADORA PARA LABORATORIO TEXTIL                             Unidad
2853   67500004   TINA DE ESCALDADO                                            Unidad
2854   67500005   MAQUINA PLATILLADORA                                         Unidad
2855   67500006   MAQUINA BOBINADORA                                           Unidad
2856   67500007   MAQUINA HILADORA                                             Unidad
2857   67500008   MAQUINA PEINADORA Y ESTIRADORA                               Unidad
2858   67500009   ACONDICIONADOR CILINDRICO                                    Unidad
2859   67500010   ELIMINADOR DE CERA                                           Unidad
2860   67500011   MAQUINA DE TEÑIDO                                            Unidad
2861   67500012   MAQUINA DE VACIADO                                           Unidad
2862   67500013   MAQUINA MEZCLADORA DE REVESTIMIENTO                          Unidad
2863   67500014   ALINEADOR DE BIELAS                                          Unidad
2864   67500015   TAMBOR PULIDOR MAGNETICO DE JOYAS                            Unidad
2865   67500016   CORTASETOS                                                   Unidad
2866   67500017   LAUNDEROMETRO                                                Unidad
2867   67500018   FROTIMETRO                                                   Unidad
2868   67500019   MAQUINA HUMEDECEDORA DE CALZADO                              Unidad
2869   67500020   MAQUINA FORMADORA DE ALBONDIGAS                              Unidad
2870   67500021   BARNIZADORA AUTOMATICA PARA IMPRESIONES                      Unidad
2871   67500022   MAQUINA ARMADORA DE CAJAS DE CARTON                          Unidad
2872   67500026   ALINEADOR DE LUCES DE VEHICULOS                              Unidad
2873   67500038   ALINEADOR DE RUEDAS - BALANCEADOR DE RUEDAS                  Unidad
2874   67500050   ALISADORA                                                    Unidad
2875   67500077   ALISADORA DE CONCRETO - ALISADORA DE PAVIMENTO               Unidad
2876   67500105   AMOLADORA                                                    Unidad
2877   67500160   AMPLIADORA DE FOTOGRAFIAS                                    Unidad
2878   67500215   AMPLIADORA DE PLACAS FOTOGRAFICAS                            Unidad
2879   67500216   APILADORA ELECTRICA                                          Unidad
2880   67500217   APISONADOR VIBRATORIO - BAILARINA                            Unidad
2881   67500218   ARMADORA DE ENFRANQUES DE CALZADO                            Unidad
2882   67500219   ARMADORA DE REVISTAS                                         Unidad
2883   67500220   ARMADORA DE TALONES Y TACOS DE CALZADO                       Unidad
2884   67500221   AUTOCLAVE DE COLCHONES                                       Unidad
2885   67500222   ASERRADERO PORTATIL/MOVIL                                    Unidad
2886   67500225   BANCO DE CONTROL PARA TORSION Y TENSION DE SIERRA CIRCULAR   Unidad
2887   67500228   BANCO PARA REPARACION DE CILINDROS HIDRAULICOS               Unidad
2888   67500231   BARREDORA                                                    Unidad
2889   67500233   BARRENADORA                                                  Unidad
2890   67500235   BATIDORA INDUSTRIAL                                            Unidad
2891   67500242   BISELADORA                                                     Unidad
2892   67500249   BISELADORA DE PLACAS DE MARMOL                                 Unidad
2893   67500256   BOMBA AIREADORA - BLOWER                                       Unidad
